Designator,Footprint,Comment,JLCPCB Part #
"C12,C18,C11,C16,C22,C14,C2,C21,C17,C24,C13,C20,C15,C8,C79",C_0402_1005Metric,100n,C77020
"C9,C6,C7,C10",C_0402_1005Metric,4.7u,C368809
"C4,C3",C_0402_1005Metric,15p,C85891
"C5,C1,C19",C_0805_2012Metric,10u,C17024
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,ABM8-272-T3,C20625731
D1,D_0402_1005Metric,Diode,C2837790
"J3,J6",JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,SM03B-SRSS-TB,C160403
C23,Kemet_FC_10.5X5.5,"100m, 5V5",DNF
L1,L_pol_2016,3.3u,C42411119
Y2,MicroCrystal_RV3028C7,RV-3028-C7_32.768kHz_1ppm_TA_QC,C3019759
SW1,power switch,SW_Push,C128539
"R59,R58,R57,R56,R55,R54,R53,R52,R51,R50,R49,R48,R47,R46,R45,R44,R6",R_0402_1005Metric,3k,C137872
"R35,R34,R38,R36",R_0402_1005Metric,10k,C60490
R10,R_0402_1005Metric,0,C60485
"R7,R8",R_0402_1005Metric,27,C25100
R37,R_0402_1005Metric,120R,C114758
R39,R_0402_1005Metric,100k,C60491
"R9,R1",R_0402_1005Metric,DNF,DNF
R2,R_0402_1005Metric,1k,C25543
R3,R_0402_1005Metric,33,C852729
R17,R_0402_1005Metric,100 ( ~90),C106232
U5,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,RP2350_80QFN,C42415655
U1,SOIC-8_5.23x5.23mm_P1.27mm,W25Q128JVS,C2999380
U4,SOT-223-3_TabPin2,NCP1117-3.3_SOT223,C26537
Q1,SOT-23,BC847,C391423
J2,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,USB_B_Micro,C10418